character,line
STEVE,Yet you’re confused about why they didn’t want you around.
TONY,"An intelligence organization that fears intelligence? Historically, not awesome. "
STEVE,"I think Loki’s trying to wind us up. This is a man who means to start a war and if we don’t stay focused he’ll succeed. We have orders, we should follow them. "
TONY,Following’s not really my style.
STEVE,"And you’re all about style, aren’t you? "
TONY,"Out of the people in this room, which one is ""A"" wearing a spangly outfit and ""B"" not of use? "
BANNER,"Steve, tell me none of this smells a little funky to you? "
STEVE,Just find the Cube.
TONY,That’s the guy my dad never shut up about? Wondering if they shouldn’t have kept him on ice.
BANNER,"Guy’s not wrong about Loki, he does have the jump on us. "
TONY,"What he’s got is an ACME dynamite kit. It’s gonna blow up in his face, and I’m gonna be there when it does. "
BANNER,I’ll read all about it.
TONY,"Mhm, or, you’ll be suiting up with the rest of us. "
BANNER,"Now, you see I don’t get a suit of armor. I’m exposed, like a nerve, it’s a nightmare. "
TONY,"You know, I’ve got a cluster shrapnel, trying every second to crawl its way into my heart. This stops it- He taps the arc reactor. -this little circle of light. It’s part of me now, not just armor. It’s a terrible privilege. "
BANNER,But you can control it.
TONY,Because I learned how.
BANNER,It’s different. 
TONY,"Hey, I read all about your accident. That much Gamma exposure- should’ve killed you. "
BANNER,So you’re saying that the Hulk- the Other Guy- saved my life? That’s nice. That’s nice sentiment. Saved it for- what?
TONY,I guess we’ll find out.
BANNER,You may not enjoy that.
TONY,And you just might.
AGENT COULSON,As soon as Loki took the doctor we...
AGENT COULSON,"...moved Jane Foster. We’ve got an excellent observatory in Tromsø. She was asked to consult there very suddenly yesterday. Handsome fee, private plane, very remote. She’ll be safe. "
THOR,Thank you. It’s no accident Loki taking Erik Selvig. I dread what he plans for him once he’s done. Erik is a good man.
AGENT COULSON,He talks about you a lot. You changed his life. You changed everything around here.
THOR,"They were better as they were. We pretend on Asgard that we’re more advanced, but we- we come here battling like Bildschneip. "
AGENT COULSON,Like what?
THOR,"Bildschneip. You know, huge, scaly, big antlers. You don’t have those? "
AGENT COULSON,No.
THOR,"Huh! Well they are repulsive, and they trample everything in their path.  When I first came to earth, Loki’s rage followed me here and your people paid the price. And now again. In my youth I courted war. "
FURY,War hasn’t started yet. You think you can make Loki tell us where the Tesseract is?
THOR,"I do not know. Loki’s mind is far afield, it’s not just power he craves, it’s vengeance upon me. There’s no pain would prise his need from him. "
FURY,"A lot of guys think that, until the pain starts. "
THOR,What are you asking me to do?
FURY,"I’m asking, what are you prepared to do? "
THOR,Loki is a prisoner.
FURY,Then why do I feel like he’s the only person on this boat that wants to be here?
LOKI,Hm. There’s not many people that can sneak up on me.
NATASHA,But you figured I’d come.
LOKI,"After. After whatever tortures Fury can concoct, you would appear as a friend, as a balm. And I would cooperate. "
NATASHA,I wanna know what you’ve done to Agent Barton.
LOKI,I’d say I’ve expanded his mind.
NATASHA,And once you’ve won. Once you’re king of the mountain. What happens to his mind?
LOKI,"Is this love, Agent Romanoff? "
NATASHA,Love is for children. I owe him a debt.
LOKI,Tell me.
NATASHA,"Before I worked for SHIELD, I uh- well, I made a name for myself. I have a very specific skill set. I didn’t care who I used it for, or on. I got on SHIELD’s radar in a bad way. Agent Barton was sent to kill me, he made a different call. "
LOKI,And what will you do if I vow to spare him?
NATASHA,Not let you out.
LOKI,"Ah, no. But I like this. Your world in the balance, and you bargain for one man? "
NATASHA,"Regime’s fall everyday. I tend not to weep over that, I’m Russian, or I was. "
LOKI,And what are you now?
NATASHA,It’s really not that complicated. I got red in my ledger. I’d like to wipe it out.
LOKI,"Can you? Can you wipe out that much red? Drakov’s daughter? Sao Paulo? The hospital fire? Barton told me everything. Your ledger is dripping, it’s gushing red, and you think saving a man no more virtuous than yourself will change anything? This is the basest sentimentality. This is a child, a prayer. Pathetic."
LOKI,...You lie and kill in the service of liars...
LOKI,"...and killers. You pretend to be separate, to have your own code..."
LOKI,"...something that makes up for the horrors. But they are a part of you, and they will never go away."
LOKI,"I won’t touch Barton! Not until I make him kill you. Slowly, intimately, in every way he knows you fear.  And then he’ll wake just long enough to see his good work, and when he screams I’ll split his skull! This is my bargain, you mewling quim! "
NATASHA,You’re a monster!
LOKI,"Oh, no. You brought the monster."
NATASHA,"So, Banner? That’s your play. "
LOKI,What?
NATASHA,"Loki means to unleash the Hulk. Keep Banner in the lab, I’m on my way. Send Thor as well. Thank you, for your cooperation!"
FURY,"What are you doing, Mr. Stark? "
TONY,Uh- kind of been wondering the same thing about you.
FURY,You’re supposed to be locating the Tesseract.
BANNER,"We are, the model’s locked and we’re sweeping for the signature now. When we get a hit, we’ll have the location within half a mile. "
TONY,"And you’ll get your cube back, no muss, no fuss. What is Phase Two?"
STEVE,"Phase Two is SHIELD used the Cube to make weapons. Sorry, computer was moving a little slow for me. "
FURY,"Rogers, we gathered everything related to the Tesseract. This does not mean that we’re- "
TONY,"I’m sorry, Nick.  What were you lying? "
STEVE,"I was wrong, Director. The world hasn’t changed a bit."
BANNER,Did you know about this?
NATASHA,"You wanna think about removing yourself from this environment, doctor? "
BANNER,"I was in Calcutta, I was pretty well removed. "
NATASHA,Loki’s manipulating you.
BANNER,And you’ve been doing what exactly?
NATASHA,You didn’t come here because I bat my eyelashes at you.
BANNER,"Yes, and I’m not leaving because suddenly you get a little twitchy. "
BANNER,I’d like to know why SHIELD is using the Tesseract to build weapons of mass destruction.
FURY,Because of him.
THOR,Me?
FURY,"Last year earth had a visitor from another planet who had a grudge match that leveled a small town. We learned that not only are we not alone, but we are hopelessly- hilariously, out-gunned. "
THOR,My people want nothing but peace with your planet.
FURY,"But you’re not the only people out there, are you? And, you’re not the only threat. The world’s filling up with people who can’t be matched, they can’t be controlled. "
STEVE,Like you controlled the cube!
THOR,"Your work with the Tesseract is what drew Loki to it, and his allies. It is the signal to all the realms that the earth is ready for A HIGHER FORM OF WAR. "
STEVE,A higher form?!
FURY,You forced our hand! We had to come up with some-
TONY,Nuclear deterrent! ’Cause that always calms everything right down.
FURY,"Remind me again how you made your fortune, Stark? "
STEVE,"I’m sure if he still made weapons, Stark would be neck deep- "
TONY,Wait-Wait! Hold on! How is this now about me?
STEVE,"I’m sorry, isn’t everything? "
THOR,I thought humans were more evolved than this.
FURY,"Excuse me, did we come to your planet and blow stuff up? "
THOR,Tis your champion.
FURY,YOU’RE NOT MY CHAMPION!
NATASHA,Are you boys really that naive? S.H.I.E.L.D monitors potential threats.
TONY,You furious? I’m furious.
BANNER,And Captain America is on the threat poll?
NATASHA,We all are!
FURY,That’s not your concern doctor!
TONY,You’re on that list? Are you above or below angry bees?
STEVE,"I swear to God, Stark, one more crack... "
TONY,You’re a threat. VERBAL THREAT! I FEEL THREATENED!
STEVE,SHOW SOME RESPECT.
TONY,RESPECT WHAT!
BANNER,"YEAH MAN HANDLE ME NOW, THAT’LL BE GOOD!"
INTERCOM VOICE,Transport six-six-five-oh. Please relay your form code. Got you on the computer but not on the data log. What is your haul? Over.
PILOT,Arms to ammunition. Over.
THOR,"You speak of control, yet you court chaos! "
BANNER,"It’s his MO, isn’t it? I mean, what are we, a team? No, no, no. We’re a chemical mixture that makes chaos. We’re- we’re a time bomb. "
FURY,You need to step away.
TONY,Why shouldn’t they guy let off a little steam?
STEVE,You know damn well why! Back off!
TONY,"Oh, I’m starting to want you to make me. "
STEVE,"Yeah, big man in a suit of armor. Take that off, what are you? "
TONY,"Genius, billionaire, playboy, philanthropist. "
STEVE,"I know guys with none of that worth ten of you. I’ve seen the footage. The only thing you really fight for is yourself. You’re not the guy to make the sacrifice play, to lay down on a wire and let the other guy crawl over you. "
TONY,I think I would just cut the wire.
STEVE,"Always a way out. You know, you may not be a threat, but you better stop pretending to be a hero. "
TONY,"A hero, like you? You’re a laboratory experiment, Rogers. Everything special about you came out of a bottle."
STEVE,"Put on the suit, let’s go a few rounds. "
THOR,"You people are so petty, and tiny. "
BANNER,"Yeah, this is a team. "
FURY,"Agent Romanoff, would you escort Dr. Banner back to his- "
BANNER,WHERE? YOU RENTED MY ROOM!
FURY,The cell was just-
BANNER,"IN CASE YOU NEEDED TO KILL ME. BUT YOU CAN’T, I KNOW, I TRIED!  I got low. I didn’t see an end so I put a bullet in my mouth and the other guy spit it out. So I moved on, I focused on helping other people. I was good until you dragged me back into this freak show and put everyone here at risk. You wanna know my secret, Agent Romanoff? You wanna know how I stay calm?"
STEVE,"Doctor Banner, put down the scepter."
FURY,Got it!
BANNER,"Sorry, kids. You don’t get to see my party trick after all. "
THOR,Located the Tesseract?
TONY,I can get there faster.
STEVE,"Look, all of us- "
NOVAR,"The Tesseract belongs on Asgard, no human is a match for it."
STEVE,You’re not going alone!
TONY,You gonna stop me?
STEVE,"Put on the suit, let’s find out! "
TONY,I’m not afraid to hit an old man.
STEVE,Put on the suit.
BANNER,Oh-my-god.
STEVE,Put on the suit.
TONY,Yep.
INTERCOM VOICE,All hands engaged.
FURY,Hill!
MARIA HILL,Number Three engine is down.
FEMALE CARRIER BRIDGE TECH,We’ve been hit.
MARIA HILL,Did we get a run in? Talk to me.
OFF SCREEN WORKER,We got a fire in Engine Three.
CARRIER BRIDGE TECH 1,The line looks mostly in tact but it’s impossible to get out there to make repairs while we’re in the air.
MARIA HILL,We lose one more engine we won’t be. Somebody’s gotta get outside and patch that engine.
FURY,"Stark, you copy that? "
TONY,I’m on it.
FURY,"Coulson, initiate defensive lock down in the contingent center. Then get to the armory. "
FURY,Romanoff!
NATASHA,Okay!
NATASHA,"We’re okay, right?"
BARTON,"Keep that engine down. Detention, wait for camera to go dark. Stay close."
TONY,Find engine three. I’ll meet you there.
NATASHA,"Doctor? Bruce, you gotta fight it. This is just what Loki wants. We’re gonna be okay. Listen to me."
MAINTENANCE GUY,You hurt?
NATASHA,"We’re gonna be okay. Right? I swear on my life I will get you out of this, you will walk away, and never ever -- "
BANNER,Your life?
NATASHA,Bruce.
FURY,Bring the carrier to a one-eight-zero south. Take us to the water.
SHIELD AGENT,We’re blind. Navigation re calibrated after the engine failure.
FURY,Is the sun coming up?
SHIELD AGENT,"Yes, sir. "
FURY,Then put us on the left. Get us over water. One more turbine goes down then we drop.
STEVE,"Stark! Stark, I’m here."
IRON MAN,Good. Let’s see what we got.
TONY,"I gotta get this super conducting cooling system back online before I can access the rotors, work on dislodging the debris. "
IRON MAN,I need you to get to that engine control panel and tell me which relays are in overload position.
TONY,What’s it look like in there?
STEVE,It seems to run on some form of electricity.
TONY,"Well, you’re not wrong."
THOR,"We’re not your enemies, Banner! Try to think!"
STEVE,"’Kay, the relays are intact."
STEVE,What’s our next move?
IRON MAN,"Even if I clear the rotors, this thing won’t re-engage without a jump.... "
TONY,...I’m gonna have to get in there and push.
STEVE,"Well, if that thing gets up to speed, you’ll get shredded! "
TONY,Then stay in the control unit and reverse polarity long enough to disengage maglev and that should-
STEVE,Speak English!
TONY,See that red lever?  It’ll slow the rotors down long enough for me to get out.
TONY,"Stand by it, wait for my word."
FURY,We need full evac on the lower hangar bed.
MARIA HILL,GRENADE!
INTERCOM VOICE,We’ve got perimeter breach. Hostiles are in SHIELD gear. Call out to every junction.
INTERCOM VOICE,We’ve got the Hulk and Thor on Research Level Four. Levels Two and Three are gone.
MARIA HILL,"Sir, the Hulk will tear this place apart! "
FURY,Get his attention.
MARIA HILL,"Escort 6-Oh, proceed to Wishbone and..."
MARIA HILL,...engage hostile. Don’t get too close.
YOUNG SHIELD PILOT,Copy.
YOUNG SHIELD PILOT,Target acquired. Target engaged.
FURY,They are not getting through here so what the-
INTERCOM VOICE,Engine One is now in shutdown.
SHIELD WORKER,"Sir, we’ve lost all power in Engine One."
FURY,"It’s Barton, he took out our systems. He’s headed for the detention lab. Does anybody copy? "
NATASHA,This is Agent Romanoff. I copy. 
FURY,"Stark, we’re losing altitude. "
TONY,"Yep, noticed."
LOKI,Are you ever not going to fall for that?
LOKI,The humans think us immortal. Shall we test that?
AGENT COULSON,Move away please.  Do you like this? We started working on the prototype after you sent the Destroyer. Even I don’t know what it does. Do you wanna find out?
THOR,NO!
BARTON,Natasha!
AGENT COULSON,You’re going to lose.
LOKI,Am I?
AGENT COULSON,"It’s in your nature, "
LOKI,"your heroes are scattered, your floating fortress falls from the sky. Where is my disadvantage? "
AGENT COULSON,You lack conviction.
LOKI,I don’t think I-
AGENT COULSON,So that’s what it does.
INTERCOM VOICE,All hands to your stations immediately.
TONY,Cap hit the lever!
STEVE,i need a minute here!
TONY,Lever! Now!
TONY,Uh-oh.
AGENT COULSON,I’m sorry boss. They got rabbited.
FURY,Just stay awake. Eyes on me.
AGENT COULSON,Oh I’m clockin’ out here.
FURY,Not an option.
AGENT COULSON,"It’s okay, boss. This was never gonna work- if they didn’t have something- to"
FURY,Agent Coulson is down.
SHIELD WORKER,A medical team is on its way to your location.
FURY,They’re here.
FURY,They called it.
FURY,"These were in Phil Coulson’s jacket. Guess he never did get you to sign them.  We’re dead in the air up here. Our communications, location of the cube, Banner, Thor. I got nothing for you. Lost my one good eye. Think I had that coming.  Yes, we were going to build an arsenal with the Tesseract. I never put all my chips on that number, though, because I was playing something even riskier. There was an idea, Stark knows this, called the Avengers Initiative.   The idea was to bring together a group of remarkable people, see if they could become something more. See if they could work together when we needed them to, to fight the battles that we never could. Phil Coulson died still believing in that idea, in heroes.  Well, it’s an old fashioned notion."
SECURITY GUARD,You fell out of the sky.
BANNER,Did I hurt anyone?
SECURITY GUARD,There’s nobody around here to get hurt. You did scare the hell out of some pigeons though.
BANNER,Lucky.
SECURITY GUARD,Or just good aim. You were awake when you fell.
BANNER,You saw?
SECURITY GUARD,"The whole thing, right through the ceiling. Big and green and buck ass nude. Here- didn’t think those would fit you until you shrunk down to a regular size fella. "
BANNER,Thank you.
SECURITY GUARD,Are you an alien?
BANNER,What?
SECURITY GUARD,"From outer space, an alien? "
BANNER,No.
SECURITY GUARD,"Well then, son, you’ve got a condition."
SECURITY GUARD,"So, which one is it? "
BANNER,Sorry?
SECURITY GUARD,"Are you a big guy that gets all little, or a little guy that, ah- sometimes blows up large? "
BANNER,You know- I’m not even sure.
SECURITY GUARD,You got somewhere to go?
BANNER,Stark Tower. I- no. Yes.
SECURITY GUARD,"I’d expect some confusion of the mind, since your body’s kind of all over the place, but it has to be one or the other."
BANNER,"I know where I could do the most good, but it’s where I can do the most harm. "
SECURITY GUARD,"Well, that’s no different than anybody else. Me? I’m here is Jersey where I can’t do much of either. And since I’m not likely to move on from this placement, you may as well- pilfer my ride."
BANNER,I don’t know which way to go.
SECURITY GUARD,"Your mind’s already made up, son. The rest of you will follow."
NATASHA,"Clint, you’re gonna be alright. "
BARTON,You know that? Is that what you know? I gotta go in though. I have to flush him out.
NATASHA,"You gotta level out, it’s gonna take time. "
BARTON,You don’t understand. Have you ever had someone take your brain and play? Pull you out and stuff something else in? You know what it’s like to be unmade?
NATASHA,You know that I do.
BARTON,Why am I back? How did you get him out?
NATASHA,Cognitive recalibration. I hit you really hard in the head.
BARTON,"Thanks.  Natasha, how many agents? "
NATASHA,"Don’t. Don’t do that to yourself, Clint. This is Loki. This is monsters and magic and nothing we were ever trained for. "
BARTON,Loki. He get away?
NATASHA,Yeah. I don’t suppose you know where?
BARTON,Didn’t need to know. Didn’t ask. He’s gonna make his play soon though. Today.
NATASHA,We gotta stop him.
BARTON,Yeah? Who’s we?
NATASHA,I don’t know. Whoever is left.
BARTON,"Well, if I put an arrow through Loki’s eye socket I’d sleep better I suppose. "
NATASHA,Now you sound like you.
BARTON,"But you don’t. You’re a spy, not a soldier. Now you want to wade into a war. Why? What did Loki do to you? "
NATASHA,"He didn’t, I just- "
BARTON,Natasha.
NATASHA,I’ve been compromised. I got red in my ledger. I’d like to wipe it out.
STEVE,Was he married?
TONY,"No. There was a uh- cellist, I think. "
STEVE,I’m sorry. He seemed like a good man.
TONY,He was an idiot.
STEVE,Why? For believing?
TONY,For taking on Loki alone.
STEVE,He was doing his job.
TONY,He was out of his league. He should have waited. He should have-
STEVE,"Sometimes there isn’t a way out, Tony. "
TONY,Right. How did that work for him?
STEVE,Is this the first time you’ve lost a soldier?
TONY,We are not soldiers! I’m not marching to Fury’s fife.
STEVE,"Neither am I. He’s got the same blood on his hands that Loki does, but right now we gotta put that behind us and get this done. Now Loki needs a power source, if we can put together a list-"
TONY,He made it personal.
STEVE,That’s not the point.
TONY,That is the point. That’s Loki’s point. He hit us all right where we live. Why?
STEVE,To tear us apart.
TONY,"Yeah, divide and conquer is great but- he knows he has to take us out to win, right? That’s what he wants. He wants to beat us, he wants to be seen doing it. He wants an audience. "
STEVE,Right. I caught his act in Stuttgart.
TONY,"Yeah. That’s just previews, this is- this is opening night. And Loki, he’s a full-tail diva. He wants flowers, he wants parades, he wants a monument built to the skies with his name plastered....Son of-a-bitch."
CAPTAIN AMERICA,Time to go.
NATASHA,Go where?
CAPTAIN AMERICA,I’ll tell you on the way. Can you fly one of those jets?
BARTON,I can.
CAPTAIN AMERICA,Got a suit?
BARTON,Yeah.
CAPTAIN AMERICA,Then suit up.
SHIELD ENGINEER,"Hey, you guys aren’t authorized to be in here. "
CAPTAIN AMERICA,"Son, just don’t!"
MARIA HILL,Sir.
FURY,Agent Hill.
MARIA HILL,"Those cards, they were in Coulson’s locker, not in his jacket. "
FURY,They needed the push.
INTERCOM VOICE,We’ve got unauthorized departure from Bay Six.
FURY,"They found it. Get our communications back up, whatever you have to do. I want eyes on everything. "
MARIA HILL,"Yes, sir."
JARVIS,"Sir, I turned off the arc reactor. The device is already self-sustaining "
IRON MAN,"Shut it down, Dr. Selvig. "
SELVIG,It’s too late! She can’t stop now. She wants to show us something! A new universe.
IRON MAN,Okay.
JARVIS,The barrier is pure energy. It’s unbreachable.
IRON MAN,"Yeah, I got that.  I’m beat. "
JARVIS,"Sir, the Mark Seven is not ready for deployment. "
TONY,"Then skip the spinning rims, we’re on the clock."
LOKI,Please tell me you’re going to appeal to my humanity.
TONY,"Uh- actually, I’m planning to threaten you. "
LOKI,You should have left your armor on for that.
TONY,"Yeah, it’s seen a bit of mileage. You’ve got the uh- blue stick of destiny. Would you like a drink? "
LOKI,Stalling me won’t change anything.
TONY,"No, no, no- threatening. No drink? You sure? I’m having one. "
LOKI,"The Chitauri are coming, nothing will change that. What have I to fear? "
TONY,"The Avengers. It’s what we call ourselves, sort of like a team. ’Earth’s Mightiest Heroes’ type of thing. "
LOKI,"Yes, I’m met them. "
TONY,"Yeah, takes us a while to get any traction, I’ll give you that one. But, let’s do a head count here. Your brother, the Demi-God; A super soldier, a living legend who kind of lives up to the legend; a man with breath-taking anger management issues; a couple of master assassins, and you, big fella, you’ve managed to piss off every single one of them. "
LOKI,That was the plan.
TONY,"Not a great plan. When they come, and they will, they’ll come for you. "
LOKI,I have an army.
TONY,We have a Hulk.
LOKI,"Oh, I thought the beast had wandered off. "
TONY,"Yeah- you’re missing the point. There’s no throne, there is no version of this, where you come out on top. Maybe your army comes and maybe it’s too much for us, but it’s all on you. ’Cause if we can’t protect the earth, you can be damned well sure we’ll avenge it."
LOKI,"How will your friends have time for me, when they’re so busy fighting you? This usually works. "
TONY,"Well, performance issues. You know? JARVIS, anytime now."
LOKI,You will all fall before me.
TONY,JARVIS. Deploy.
TONY,Deploy!
IRON MAN,And there’s one other person you pissed off! His name is Phil.
TONY,Right! Army.
THOR,"Loki, turn off the Tesseract or I’ll destroy it! "
LOKI,You can’t. There is no stopping it. There is only the war!
THOR,So be it.
NATASHA,"Stark, we’re on a three heading north east."
TONY,"What, did you stop for drive-thru? Swing that park, I’m gonna lay ’em out for you."
JARVIS,"Sir, we have more incoming. "
TONY,Fine. Let’s keep them occupied.
BARTON,Nat!
NATASHA,I see ’em.
CAPTAIN AMERICA,We gotta get back up there.
CAPTAIN AMERICA,"Stark, are you seeing this? "
TONY,Seeing. still working on believing...
TONY,...Where’s Banner? Has he shown up yet?
CAPTAIN AMERICA,Banner?
TONY,"Just keep me posted.  JARVIS, find me a soft spot."
THOR,Look at this! Look around you! You think this madness will end with your rule?
LOKI,It’s too late. It’s too late to stop it.
THOR,"No. We can, together."
LOKI,Sentiment!
BARTON,We’ve got civilians trapped.
CAPTAIN AMERICA,Loki.  They’re fish in a barrel down there.
NATASHA,We got this. It’s good. Go!
CAPTAIN AMERICA,You think you can hold them off?
BARTON,"Captain, it would be my genuine pleasure."
NATASHA,Just like Budapest all over again!
BARTON,You and I remember Budapest very differently.
YOUNG COP,It’s gonna be an hour before they scramble the National Guard.
POLICE SERGEANT,National Guard!
POLICE SERGEANT,Does the army know what’s happening here?
YOUNG COP,Do we?
CAPTAIN AMERICA,"You need men in these buildings. There are people inside and they can be running right into the line of fire. You take them to the basement or through the subway, you keep them off the streets. I need a perimeter as far back as 39th. "
POLICE SERGEANT,Why the hell should I take orders from you?
POLICE SERGEANT,"I need men in those buildings, lead the people down and away from the streets. We gonna set up a perimeter all the way down to 39th street."
TONY,It noticed me... ...yay!
CAPTAIN AMERICA,What’s the story upstairs?
THOR,The power surrounding the cube is impenetrable.
TONY,"Thor is right, we gotta deal with these guys. "
NATASHA,How do we do this?
CAPTAIN AMERICA,As a team.
THOR,I have unfinished business with Loki.
BARTON,Oh yeah! Get in line.
CAPTAIN AMERICA,"Save it. Loki’s gonna keep this fight focused on us and that’s what we need. Without him these things could run wild. We got Stark up top, he’s gonna need us to-"
BANNER,"So, this all seems horrible. "
NATASHA,I’ve seen worse.
BANNER,Sorry.
NATASHA,"No, we could- use a little worse. "
CAPTAIN AMERICA,"Stark, we got him. "
TONY,Banner?
CAPTAIN AMERICA,Just like you said.
TONY,Then tell him to suit up. I’m bringing the party to you.
NATASHA,I don’t see how that’s a party.
CAPTAIN AMERICA,"Doctor Banner, now might be a really good time for you to get angry. "
BANNER,"That’s my secret, Cap. I’m always angry."
IRON MAN,Hold On!
LOKI,Send the rest.
NATASHA,Guys?
IRON MAN,"Call it, Captain. "
CAPTAIN AMERICA,"Alright, listen up. Until we can close that portal up there, we’re gonna use containment. Barton, I want you on that roof, eyes on everything. Call out patterns and strays. Stark, you got the perimeter. Anything gets more than three blocks out, you turn it back or you turn it to ash. "
BARTON,Wanna give me a lift?
IRON MAN,"Right. Better clench up, Legolas."
CAPTAIN AMERICA,"Thor! You gotta try and bottleneck that portal, slow ’em down. You got the lightning, light the bastards up."
CAPTAIN AMERICA,"You and me, we stay here on the ground, keep the fighting here. And Hulk!  Smash!"
MARIA HILL,Sir. The council is on.
BARTON,Stark. You gotta lot of strays on your tail.
TONY,Just tryin’ to keep them off the streets.
BARTON,Well they can’t bank worth a damn.
TONY,I will roger that.
TONY,Oh- boy.
TONY,Nice call. What else you got?
BARTON,"Well, Thor’s taking out a squadron down on 6th. "
TONY,And he didn’t invite me!
NATASHA,"Captain, none of this is gonna mean a damn thing if we don’t close that portal. "
CAPTAIN AMERICA,Our biggest guns couldn’t touch it.
NATASHA,"Well, maybe it’s not about guns. "
CAPTAIN AMERICA,"You wanna get up there, you’re gonna need a ride."
NATASHA,I got a ride. I could use a boost though.
CAPTAIN AMERICA,You sure about this?
NATASHA,"Yeah, it’s gonna be fun!"
NATASHA,"Turn, turn, Ah!"
BARTON,"Captain, the bank on 42nd, past Madison. They cornered a lot of civilians in there. "
CAPTAIN AMERICA,I’m on it.
CAPTAIN AMERICA,Everyone clear out!
COUNCILWOMAN,Director Fury. The council has made a decision...
FURY,"I recognize the council has made a decision, but given that it’s a stupid ass decision, I’ve elected to ignore it. "
COUNCILMAN,"Director, you’re closer than any of our subs, you scramble that jet-"
FURY,"That is the island of Manhattan, Councilman. "
FURY,"Until I’m certain my team can’t hold it, I will not order a nuclear strike against a civilian population. "
COUNCILMAN,"If we don’t hold them in the air, we lose everything. "
FURY,"I’d send that bird out, we already have."
NATASHA,Oh you! Hawkeye!
BARTON,"Nat, what are you doing? "
NATASHA,"Uh, a little help!"
BARTON,I got it.
LOKI,"ENOUGH! You are, all of you, beneath me! I AM GOD, YOU DULL CREATURE, AND I WILL NOT BE BULLIED BY-"
HULK,Puny God.
SELVIG,The scepter.
NATASHA,Doctor.
SELVIG,"Loki’s scepter, the energy- the Tesseract can’t fight. You can’t protect against yourself. "
NATASHA,It’s not your fault. You didn’t know what you were doing.
SELVIG,"Well, actually I think I did. I built in a safety to cut the power source. "
NATASHA,Loki’s scepter.
SELVIG,It may be able to close the portal. And I’m looking right at it.
JARVIS,"Sir, we will lose power before we penetrate that shell."
TONY,"JARVIS, you ever hear the tale of Jonah? "
JARVIS,I wouldn’t consider him a role model.
COUNCILWOMAN,Director Fury is no longer in command. Override seven-alpha-one-one.
JET PILOT,Seven-alpha-one-one confirmed. We’re go for takeoff.
MARIA HILL,"SIR, WE HAVE A BIRD IN MOTION! Anyone on the deck we have a rogue bird. We need to shut it down! Repeat, takeoff is not authorized!"
FURY,"Stark, you hear me? You have a missile headed straight for the city."
IRON MAN,How long?
FURY,Three minutes. Max. Stay load can wipe out mid-town.
TONY,"JARVIS, put everything we got into the thrusters. "
JARVIS,I just did.
JET PILOT,"Package is sent. Detonation in two minutes, thirty seconds. Mark."
THOR,You ready for another bout?
STEVE,"What, you gettin’ sleepy?"
SELVIG,Right at the crown!
NATASHA,I can close it. Can anybody copy? I can shut the portal down!
STEVE,Do it!
TONY,"No, wait. "
STEVE,"Stark, these things are still coming! "
TONY,"I got a nuke coming in, it’s gonna blow in less than a minute."
TONY,And I know just where to put it.
STEVE,"Stark, you know that’s a one way trip. "
TONY,Save the rest for the turn J.
JARVIS,"Sir, shall I try Miss Potts? "
TONY,Might as well.
REPORTER,Streets in New York City have become a battle ground. The army is here trying to contain the violence but clearly it is outmatch-
REPORTER,...Billionaire Tony Stark’s Iron Man-
JARVIS,"Sorry, Miss- "
NATASHA,"Come on, Stark. "
STEVE,Close it.
STEVE,Son of a gun!
THOR,He’s not slowing down.
TONY,What the hell? What just happened? Please tell me nobody kissed me.
STEVE,We won.
TONY,"Alright, Hey. Alright. Good job, guys. Let’s just not come in tomorrow. Let’s just take a day. You ever tried shawarma? There’s a shawarma joint about two blocks from here. I don’t know what it is, but I wanna try it. "
THOR,We’re not finished yet.
TONY,And then shawarma after?
LOKI,"If it’s all the same to you, I’ll have that drink now."
MALE REPORTER,Despite the dev...
MALE REPORTER,"...devastation of what has been confirmed as an extraterrestrial attack, the extraordinary heroics of the group known as the Avengers- "
MALE CITIZEN,"It’s really great knowing they’re out there, you know. That someone’s watching over us. "
FEMALE CITIZEN,"I love you, Thor! "
HUSBAND,I just don’t feel safe with those thing out there.
WIFE,It seems like there’s a lot they’re not telling us.
STAN LEE,Superheroes? In New York? Give me a break!
THE SENATOR,These so called heroes have to be held responsible for the destruction done to the city. This was their fight. Where are they now?
REPORTER,"Tough questions are being asked about the Avengers themselves, their sudden appearance and equally sudden disappearance. "
WAITRESS,"What, that this is all somehow their fault?"
WAITRESS,"Captain America saved my life. Wherever he is, and wherever any of them are, I would just- I would wanna say thank you."
COUNCILMAN 2,Where are the Avengers?
FURY,I’m not currently tracking their whereabouts. I’d say they’ve earned a leave of absence.
COUNCILWOMAN,And the Tesseract?
FURY,The Tesseract is where belongs...out of our reach.
COUNCILMAN,That’s not your call.
FURY,I didn’t make it. I just didn’t argue with the god that did.
COUNCILMAN,So you let him take it...
COUNCILMAN,"and the war criminal Loki, who should be answering for his crime. "
FURY,Oh I think he will be.
COUNCILWOMAN,I don’t think you understand what you’ve started...
COUNCILWOMAN,...letting The Avengers loose on this world. They’re dangerous.
FURY,"They surely are, and the whole world knows it. "
FURY,Every world knows it!
COUNCILMAN,Was that the point in all this? A statement.
FURY,A promise.
MARIA HILL,"Sir, how does it work now...?"
MARIA HILL,"...They’ve gone their separate ways, some pretty extremely far. We get into a situation like this again, what happens then? "
FURY,They’ll come back!
MARIA HILL,Really sure about that?
FURY,I am.
MARIA HILL,Why?
FURY,Because we’ll need them to.
