character,line
T'CHALLA,"Stop it. Stop it. Shuri laughs and they do a special handshake before walking down the spiral walkway into her sprawling, futuristic lab. Nexus of technology. Shuri strolls with T'Challa by work tables of high-tech weapons and gadgets."
SHURI,I've already sent a car ahead to Busan for you.  Who are you taking with you to Korea?
T'CHALLA,Okoye. And Nakia as well. Shuri makes a face at Nakia.
SHURI,You sure it's a good idea to take your ex on a mission?
T'CHALLA,"Yes. We'll be fine.  Besides, you will be on call, should we need backup. Shuri smiles at this and points out smal l communications devices."
SHURI,"I have great things to show you, brother. Here are your communication devices for Korea. Unlimited range, also equipped with audio surveillance system. She walks him over to another table with WDG disks on them."
SHURI,"Check these out. Remote access Kimoyo beads. Updated to interface directly with my sand table. Curious, T'Chal l a notices a pair of SLEEK SHOES."
T'CHALLA,And what are these?
SHURI,The real question is what are those? Why do you have your toes out in my lab? Shuri points at T'Challa's traditional sandals. T'Challa smiles.
T'CHALLA,"What, you don't like my royal sandals? I wanted to go old school for my first day."
SHURI,"Yea I bet the elders loved that. Try them on. T'Challa puts his feet into the shoes, and they lace up instantly, forming a perfect fit."
SHURI,"Fully automated, like the old American movie Baba used to watch. And I made them completely sound absorbent. T'Challa stomps his foot down without a sound."
T'CHALLA,Interesting •.•
SHURI,Guess what I ca l l them. T'Challa thinks on this.
SHURI,Sneakers... T'Challa looks at her blankly.
SHURI,"Because you... never mind. Shuri walks T'Challa over to two mannequins. One wears T'Challa's CURRENT SUIT. The other, just a panther tooth"
SHURI,If you're going to take on Klaue you'll need the best the Design Group has to offer. Shuri points at T'Challa's current suit.
SHURI,Exhibit A. Old tech.
T'CHALLA,"Old...? Functional, but old. Eh, people are shooting at me... wait let me put on my helmet... T'Challa smiles, amused."
T'CHALLA,Enough...
SHURI,Now look at these. T'Challa spots a GAUDIER GOLD TOOTH NECKLACE. She notices.
SHURI,Do you like that one?
T'CHALLA,Tempting. But the idea is to not be noticed. This one. Shuri uses her Kimoyo beads to sync the suit to T'Challa.
SHURI,"Now tell it to go on. T'Challa does, and without warning, MILLIONS of vibranium laced NANITES spill from the necklace and form a new BLACK PANTHER SUIT around the mannequin."
SHURI,Oooh!! The entire suit sits within the teeth of the necklace. Strike it.
T'CHALLA,Anywhere?
SHURI,Mhm. T'Challa turns to the mannequin in a relaxed fighting stance. Shuri nods and T' Challa SPIN KICKS the shit out of the mannequin!
SHURI,"Not that hard, genius!"
T'CHALLA,"You told me to strike it, you didn't say how hard. Shuri picks the mannequin back up and drags it over to the same spot."
SHURI,"I invite you to my lab, and you just kick things around."
T'CHALLA,"Well maybe you should make it a little stronger, eh? Shuri shrugs as we see Wakandan Script built into the suit GLOWING INDIGO where the impact of T'Challa's foot landed. T'Challa looks closely at the glowing script."
T'CHALLA,Wait a minute.
SHURI,The nanites absorb the kinetic energy and hold it in place for redistribu t ion.
T'CHALLA,Very nice.
SHURI,"Now strike it again, in the same spot. T'Challa backs up for a kick. Shuri presses record on her Kimoyo. T'Challa sees this and looks at her suspiciously."
T'CHALLA,You are recording?
SHURI,"For research purposes... T'Challa loads up then BOOM! He kicks the indigo spot and goes flying back across the room, CRASHING INTO A TABLE full of Shuri's gadgets. Shuri cracks up."
T'CHALLA,"Delete that footage... We move over the beautiful sky l ine. A LEXUS SEDAN drives through the market and pulls into a parking stall next to several expensive looking lu xury cars. T' Challa, Okoye and Nakia climb out of the sedan dressed to kill. A WIG covers Okoye's tattooed head."
NA.KIA,This way.
OKOYE,"Bast willing this goes quickly, and I can get this ridiculous thing off my head."
NA.KIA,It looks nice. Just whip it back and forth.
OKOYE,"What? It's a disgrace. Looky - loos stare as Nakia leads them to an ELDERLY WOMAN , se ll ing fish i n front of an al l ey. Nakia greets her in perfect Korean."
NA.KIA,"Hello Sophia, good to see you. Nakia smiles, but the Elderly Woman doesn't smile back."
ELDERLY WOMAN,Who are these two?
NA.KIA,My friends from Kenya. Very deep pockets. They're good.
ELDERLY WOMAN,"Good for trouble, like you? An awkward pause, then she smiles wearing a black suit emerges from the alley, and motions for the Wakandans to follow him into.."
NA.KIA,"Thank you. A small dark room with a A BACK DOOR with a Korean Character on it and TWO MORE KOREAN GOONS guarding each side. They eye our heroes closely. As they step through a large DETECTOR and are WANDED DOWN. The door opens and they pass into •.. They walk out onto the upper balcony of a buzzing, high-class casino. There are a few GAMING TABLES on the balcony level and a bustling pit down below."
T' CHALLA,Spread out. The buyer is likely already here. Okoye heads for the BALCONY VANTAGE POINT while T'Challa and Nakia go down to the FIRST FLOOR.
T'CHALLA,"The woman outside -- what trouble was she referring to? She plays along, alluring."
NAKIA,"Ah, I got into a disagreement with some ivory traders. Made a bit of a mess."
T' CHALLA,"And will there be any trouble tonight, Ms. Kenyan heiress?"
NAKIA,Depends on how quickly we finish the mission...
OKOYE,Can we please focus. T'Challa and Nakia split up. T'Challa heads for the pit and Nakia walks over to the bar.
OKOYE,Thank you. Nakia slips into a seat at the bar and looks around clocking the room.
NAKIA,"Over here. One whiskey, please."
NAKIA,"Eyes up. Americans. I count... three. We see Nakia's POV as she makes out THREE CIA AGENTS on the first floor, spread out under the balcony."
OKOYE,"Five. How could you miss Greased 
Lightning there behind you. Standing over the balcony looking, Okoye spots agents, both with greasy hair. An elegant waitress carries a tray of drinks to a CRAPS TABLE where we find T'Challa. The woman places the drinks down as T'Challa peers across the gambling pit at someone he recognizes and starts that way."
T'CHALLA,"Six. Just spotted an old friend who works for the CIA. It just got a little more complicated. T'Challa steps up to another crowded CRAPS TABLE next to EVERETT ROSS, the sixth CIA agent he spotted."
T'CHALLA,Agent Ross.
ROSS,Your highness. Ross plays it cool.
T'CHALLA,You are buying from Klaue...
ROSS,"What I'm doing or not doing on behalf of the US government is of none of your concern. Now, whatever the hell you're up to, do me a favor and stay out of my way."
T'CHALLA,I gave you Zemo.
ROSS,And didn't I kept it under wraps that the King of a third world country runs around in a bulletproof cat suit. I ' d say we were even. Ross places a Pass bet. T'Challa dumps a stack of chips on Don't Pass. All of the SHOOTER'S FRIENDS blow on the dice.
ROSS,"You really need to leave, now. They watch the dice roll. They land on 3. The dea l er takes away Ross' bet, and slides T'Challa's massive payout over to him."
T' CHALLA,"Klaue is leaving out that door with me. You've been warned. T'Challa walks toward another craps table, leaving the pile of chips behind ."
ROSS,"Hey, you won. Ross scratches his brow as a THIRSTY GAMBLER  who was sitting next to T'Challa grabs them. Ross eyes the Thirsty Gambler who shrugs."
THIRSTY GAMBLER,"You know what, I think I'll just take these, bring 'em over here and hold on for safe keeping. He slides them all onto the DON'T PASS bet and Ross walks off in search of T'Challa."
ROSS,"Ok heads up, the King of Wakanda is here. He cannot leave with Klaue. T'Challa stands at a ROULETTE TABLE when Ross walks up to him."
ROSS,"Alright, vibranium from the attack on Sokovia links back to a person that I'm not actually saying I'm here to make a deal with but that deal will not be called off. When the dust settles you and I can work something out."
T'CHALLA,"I am not here to make a deal. Ross rolls his eyes. SEVERAL BLACK 4RUNNERS pull up in f r ont of the Korean Woman and a platoon of EIGHT SOUTH AFRICAN TOUGHS dressed i n suits hop out of the trucks protecting Klaue. Klaue winks at the Korean Woman as he wal ks past her. She smi l es back and nods to the TOUGH behind her. Klaue and his men walk through the metal detector, and EVERY SINGLE ONE OF THEM LIGHTS IT UP. The TOUGHS watch as they go throug h. Klaue and his eight man entourage confidently stream inside the casino, spreading out across the ba l cony, gaining every va ntage poin t. At a stalemate. Then..."
NAKIA,Klaue plus 8! Ross looks to the entrance and immediately moves away from T'Challa. T'Challa watches Ross approach a third CRAPS TABLE. T'C halla turns his back to avoid being seen.
T' CHALLA,General.
OKOYE,In position to secure our exit.
T'CHALLA,And the vibranium. Who changes position from the bar to the CRAPS TABLE where T'Challa was initially standing.
NAKIA,I don't see it yet. As TWO OF KLAUE' S TOUGHS post up on either side of her on the balcony. She trie s to play it cool as they look around at the patrons suspiciously.
OKOYE,I thoug ht there were no weapons allo wed in here.
NAKIA,There's not supposed to be.
OKOYE,Someone did not get the memo. Definitely armed. Klaue spots Ross and smiles as he heads down the stairs flanked by a couple of his Ross keeps his cool as Kl aue approaches.
ROSS,Well that is quite the entourage. You got a mixtape coming out? Klaue cuts Ross a look.
KLAUE,"Yeah! Yeah, actually there is one. Shocked, Ross is unsure if Kl aue is serious."
KLAUE,Yea I'll send you the soundcloud link if you like. Klaue turns to one of his goons.
KLAUE,"Aye, Dave. Get him the link to the tape. The SOUTH AFRICAN TOUGH reaches into his pocket for his phone."
ROSS,"Please don't make me listen to your music. I just meant, you got a lot of people with yo u."
KLAUE,"Oh, you think they're for you? Klaue laughs at this."
KLAUE,"Don't worry. I can do a deal with you all by myself, thank you very much. He rubs Ross on the shoulder, hard, and for way too long. As several more SOUTH AFRICAN TOUGHS come pouring out of the VIP lounges."
NAKIA,"Six more, it ' s a set up."
KLAUE,You got the diamonds? Klaue is still rubbing Ross' shoulder.
ROSS,"Ok, that's enough. A CIA AGENT walks a FANCY SLIM BRIEFCASE towards Ross."
NAKIA,We need to move on Klaue.
T'CHALLA,Stand down. We can't afford a shoot- out. Ross eyes Klaue as the CIA agent brings him the briefcase.
ROSS,"The vibranium? Klaue looks around, and reaches into his pants and pulls out a wrinkled, sweaty paper bag, with FRAGILE written on it with a sharpie. Ross looks at the bag."
KLAUE,"I was going to buy a fancy suitcase, but I thought I'd save myself some money."
NAKIA,It's now or never. Nakia continues towards the CIA agent.
OKOYE,"STAND DOWN! A South African Tough hears her, and turns towards her."
SOUTH AFRICAN TOUGH,Hey. Okoye pretends she doesn't hear him.
SOUTH AFRICAN TOUGH,Hey!
OKOYE,"I've been made. Okoye starts for the stairs when ANOTHER TOUGH moves to cut her off. Okoye slows down and the TOUGH trailing behind her reaches out to grab her hand and turn her around. As soon as the goon touches Okoye, she TWISTS him into an ARM- BAR, throws her purse at the OTHER TOUGH and extends her spear, stabbing the OTHER TOUGH in the foot. She then throws her WIG into the ARM BAR TOUGH's face, and hurls him over the railing. The arm-bar tough CRASHES DOWN onto a gaming table behind Klaue and startled patrons, scramble in every direction. Klaue spins toward the commotion as... Klaue looks back to Ross and spots T'Challa. Producing a HANDGUN from his waist, Klaue opens fire on Ross and the CIA agent. Ross uses the SLIM SUITCASE as a shield as he ducks down below the craps table and... T'Challa leaps to action, KICKING and FLIPPING THE TABLE on its edge to block GUNFIRE from Klaue's other toughs. With bullets flying everywhere... PANICKED PEOPLE run for their lives. It's Surrounded by TOUGHS, Klaue retreats for the stairs."
KLAUE,"Get the diamonds, quick! EVERY ONE OF KLAUE'S TOUGHS unload, raining shells on the overturned craps table with Ross and T'Challa behind it. The TOUGHS move in only to have T'Challa leap from the table, staying low to FOOTSWEEP one onto his back. T'Challa kicks him back then disarms another TOUGH and kicks him into the bar. T'Challa then spins and kicks the next TOUGH over the roulette table and through the bar railing. Nakia grabs a goon in an ARM TWIST trying to relieve him of his gun. She takes off one shoe and knocks out another approaching gun. Swings the arm twisted goon to the floor, knocks him out, taking his gun and shooting up towards the balcony where Okoye is fighting. Okoye BATTLES TWO TOUGHS with her full-length spear, dropping both with proficiency. She kicks the gun away from one, fights another with her spear, then kicks a TOUGH over the rail. Okoye JUMPS down to the casino floor and stabs a goon on her way down, tucks and rolls. Okoye takes out a TOUGH with her spear. Nakia flips a TOUGH over her back. T'Challa sends a TOUGH and table flying. Beats down two more TOUGHS, he turns for more. T'Challa spots Klaue nearing the entrance and breaking away from the fight, LEAPS HALF WAY UP onto a column, bounds off to the UPPER BALCONY T'Challa lands 10 feet behind Klaue."
T'CHALLA,"Murderer! Klaue stops and turns around to face T'Challa. He tries to fire his gun but discovers he ' s out of ammo. Klaue smiles, dropping his gun and puts his hands up -- as KLAUE'S PROSTHETIC LEFT ARM suddenly splits open, revealing itself to be a SONIC DISRUPTER!"
KLAUE,"You know, you look just like your old man. T'Challa snatches up a ROLLING CHANGE CART TABLE just as Klaue fires the blaster at him.!!! A COLOSSAL SONIC BLAST hits the cart, blowing it to pieces and sending T'Challa RAILING back down into the pit. With money FLOATING in the air, T'Challa lands hard."
KLAUE,I made it rain! Nakia and Okoye make their way to the top of the stairs as… Klaue and FOUR TOUGHS exit with Nakia and Okoye giving chase.
KLAUE,"That was awesome! That was awesome! Let's go! Go, go, come on! Klaue jumps in the first of FOUR IDLING 4RUNNERS. The convoy instantly skids away as... Nakia and Okoye emerge. Okoye throws an EMP bead from her pocket and it lands on a parked"
NAKIA,Do we just leave him?
OKOYE,He'll catch up. Nakia starts the car and Okoye climbs in. T'Challa sprints out of casino.
T'CHALLA,Shuri! Shuri stands in front of a rectangular VIBRANIUM CASING that lowers. The SAND inside FORMS into the Lexus LC's cockpit.
GRIOT,Remote driving system activated.
SHURI,Yes yes yes! Wait... Which side of the road is it? We see a three-dimensional VIEW from inside the Lexus LC's cockpit appear as Shuri climbs in.
T'CHALLA,For Bast sake just drive!!!
SHURI,"Okay okay, calm down brother! HIS FACE... Black Panther. Panther continues running as the LEXUS pulls up behind him, at the last second he single-leg flips and lands on the hood of the Lexus LC, digging his HAND and BOOT claws into the hood as it"
SHURI,Wool Let's go! Klaue turns to the driver.
KLAUE,"Put some music on! What do you think this is a funeral? The 4RUNNERS cross through one intersection at speed, then make a hard right at the next INTERSECTION. Nakia remains on them as at the far end of the street we see PANTHER'S LEXUS LC join the chase. The CONVOY makes a right at a ""T"" and races down a TWO LANE STREET toward a split in the road. The FIRST and THIRD 4RUNNERS continue on the two lane street with NAKIA' S LEXUS SEDAN on their tail."
NAKIA,Which one is he in now? Klaue picks up his radio.
KLAUE,"Hey, split up!"
OKOYE,They're trying to lose us.
NA.KIA,"We'll take the right. While the SECOND and FOURTH SUV skid left down a SINGLE LANE ROAD followed closely by... A skilled driver, Shuri shifts gears, darting left, in behind the trucks with Panther anchored atop."
SHURI,"We'll take the other two! I see a short cut. With the LEXUS LC closing in, the SECOND and FOURTH 4RUNNERS make a right turn, dropping down a STEEP HILL. Panther chases the SUV's off the hill. The lead SUV collides with a car in crossing traffic."
SHURI,We're not going to make it!
T'CHALLA,Keep go in g! Panther uses his claws to make a sharp turn and avoid the wreck.
SHURI,"Wool Brother! Panther catches up with the Rear SUV, he takes fire and leaps on the roof of the SUV. Panther rips the SUV roof open. The scared driver leaps out of the car, causing the SUV to collide with parked cars, ""Sidewinder''. Shuri runs over the escaped driver on accident."
SHURI,"Hey, what was that!?"
T'CHALLA,Don't worry about it. You're doing great. Panther leaps back onto the hood of the Lexus and they speed off. Klaue looks back as Nakia closes in. The driver f l oors it as a GUNMAN in the THIRD SUV opens fire on Nakia's Lexus. The bullets carom off the hood. Nakia and Okoye... unfazed by the gunfire.
OKOYE,Guns. So primitive. Klaue barks into his comm.
KLAUE,"It ' s a vibranium car you idiots!! Bullets won't penetrate!! Okoye slides out the passenger window and climbs onto the roof, stabbing her short spear into the top of the vehicle as a handle, her dress blowing in the wind."
NAKIA,What are you doing?
OKOYE,Just drive.
NAKIA,"Eesh. Nakia drops back and weaves through traffic as Okoye, engages her SPEAR MECHANISM, then steadies herself and let's her long spear fly, launching the weapon like a javelin. The SPEAR rockets through the REAR AND FRONT WINDOW of the truck, SPIKING THE GROUND and bringing the SUV to a stop with the force of a head on collision!"
NAKIA,Wool
KLAUE,"Oh shoot. The SECOND and FOURTH SUV$ tear from the hills onto the DIAMOND BRIDGE with Panther's Lexus right behind them. Closing in, Panther takes Speeding through BUSY BRIDGE TRAFFIC, Panther surfs the roof of the BULLET RIDDLED LC."
SHURI,"Hey, look at your suit! You' ve been taking bullets charging it up with kinetic energy! Panther looks down at the GLOWING GLYPHS of kinetic energy built into his suit as..."
T'CHALLA,"Pull around the truck. The LC accelerates ahead, closing in on the SECOND SUV, but just as Panther is about to look inside, a passing TRAILER BLOCKS his view. The 4Runner loses sight of Panther as he LEAPS TO THE TRAILER, bounding across the top of the big rig separating the Lexus and the 4Runner. Klaue ' s gunmen search furiously for Panther as the Lexus LC suddenly cuts in front of them, without Panther on to p."
DRIVER,"Where'd he go!? Then out of nowhere, PANTHER LANDS HARD on the hood of the Looking inside, Panther doesn't see Klaue and launches off the 4Runner, distributing the kinetic energy from his suit with IMMENSE CONCUSSIVE FORCE, causing both TRUCKS TO CRASH and FLIP down the bridge. Shuri swerves the Lexus, skillfully catching Panther on the roof again as..."
SHURI,You show off. Nakia's Lexus sedan trails Klaue's 4Runner. •. both going airborne over hilltops.
NAKIA,"There he is! Hold tight! As the SUV catches air over a rise in the road, Klaue slides his body out of the truck."
KLAUE,"Right, let's have some fun. Sitting on the windowsill, Klaue aims his Nakia is locked in and Okoye prepares to throw her SPEAR again but they suddenly LOSE SIGHT of Klaue as the Lexus hits the rise. Ahead, Klaue's 4Runner launches off a second, Nakia loses sight of Klaue again as... The SUV LANDS HARD on the downside of the hill. Klaue, still at speed, steadies his disrupter and as NAKIA'S LEXUS appears in MID-AIR over the rise, he FIRES. Klaue's SONIC SHOT hits the Lexus sedan head on and piece by piece to its studs... SENDING NAKIA As she twists through the air, her feet remain planted on a shredded piece of the cars' roof. She l ands on her feet, speed-skating to a stop. Nakia skids up next to Okoye on the driver's seat, still buckled in. Ross pulls up in a SUBURBAN and stops in front of Nakia and Okoye."
ROSS,Hop in. Put that spear in the trunk.
T'CHALLA,"Faster, Shuri. Tracking Kla ue ' s SUV, Shuri drives in the sand cockpit."
SHURI,"I ' m going as fast as I can! We see KLAUE' S 4RUNNER racing across the Centum City Bridge... the Diamond Bridge can be seen in the background. Klaue is back inside the SUV as it WEAVES through traffic. Then, we spot a rapidly closing LEXUS LC WITH PANTHER on the roof. Klaue turns to his driver."
KLAUE,"Take a right, take a right! Klaue ' s 4Runner and Panther's LC make left turns, booking down a short road, then make quick rights. The 4Runner barrels along a brightly lit TWO LANE ROAD with the Lexus LC chasing. Unnerved seeing Panther closing in, Klaue slides his body back out to the SUV's windowsill as his driver makes a sharp right onto a WIDER AVENUE. Determined, Shuri rounds the turn, focused. The DIGITAL DASH shows 115 mph and climbing. But, hanging out of the truck, Kla ue fires a MASSIVE SONIC BLAST that Shuri can't evade."
SHURI,No no no no no no no!! And... HIT... t he LEXUS LC SUDDENLY GOES TO PI ECES... whole parts and panelling to a million fragments. Shuri ' s driver seat and she hits the floor.
SHURI,"Brother! But PANTHER... launches himself out of the DISASSEMBLING CAR to ward a BUILDING and in fo ur strides al ong the side of the structure, he LEAPS OFF at KLAUE' S 4RUNNER. Klaue's driver spots PANTHER FLYING AT THEM and tries to swerve, but Panther LATCHES to the side of the SUV and DIGS IN with his claws. Panther GRABS THE RIM of the front tire and STOPS THE WHEEL dead in its tracks! The lug nuts SHEAR OFF from the force and Panther discards the tire, causing the truck's nose to CRASH DOWN, skidding across the street with Panther ROLLS clear as the 4RUNNER HITS the curb, FLIPS OVER to its roof and SLIDES TO A STOP in the middle of a busy outdoor cafe as its PATRONS scramble. With the SUV upside-down and customers looking on, Panther approaches to find Klaue struggling to climb out of his window."
T'CHALLA,"Klaue 11 Klaue slowly gets to his feet and tries to level his disrupter but running up, Panther evades the BLAST and is only nic ked on the shoulder. Panther grabs Klaue's arm, CLAWING into the sonic disrupter and COMPLETELY PULLS IT OFF."
T'CHALLA,Did you think we would forget!? Klaue laughs.
T'CHALLA,Look at me murderer! Where did you get this weapon?
KLAUE,You savages didn ' t deserve it. T'Challa grabs him by the throat and slams him into the
KLAUE,"Oh, mercy! King, mercy! Seething, Panther exposes his claws prepared to strike."
T' CHALLA,Every breath you take is mercy from me.
OKOYE,King/ T'Challa turns to find Okoye and Nakia getting out of Ross' Suburban.
NAKIA,The world watches. The pier has crowded with Koreans RECORDING them on cellphones as SIRENS can be heard in the distance.
ROSS,"Come on guys, let's go huh? T'Challa eyes around. He has little choice and nods. Fast-paced, loud and dirty. SOUTH KOREAN EMPLOYEES busily work at desks. Nakia is among them, watching the passing cars. Guard duty. Agents and CIA analysts move about. On the table sits PROSTHETIC WEAPON and THE VIBRANIUM sitting atop the paper bag. Klaue, strapped to a chair, makes faces at the two way glass."
KLAUE,"Hello! I can see you! I can, I can see you."
ROSS,"So, this is a big mess, huh? I figured we can go good cop bad cop. I'll talk to him first, then you guys go in -- Okoye turns to T'Challa."
OKOYE,We can't let him talk to Klaue alone.
T'CHALLA,Better to let him talk to Klaue alone for 5 minutes than to make a scene here. T'Challa turns to Ross.
T'CHALLA,"After your questioning, we will to take him back to Wakanda with us. Ross stares at T'Challa for a beat."
ROSS,"What? No. Look I like you, a lot. But he's in my custody now. He's not going anywhere. Listen, I 'm doing you a favor by letting you even be in here. Ross reaches out and touches T'Challa. Okoye steps in."
OKOYE,"If he touches you again, I am going to impale him to this desk. Ross looks at Okoye, sensing the thinly veiled threat. He looks to T'Challa."
ROSS,Does she speak English?
OKOYE,When she wants to. Ross and Okoye eye each other for a long beat.
ROSS,"I'm going in. And when I'm done, you guys are up."
T'CHALLA,--Agent Ross.
ROSS,Yea. T'Challa puts his hand on Ross's shoulder.
T'CHALLA,I do appreciate your help in Busan.
ROSS,"You see that? It's called diplomacy. You're welcome. Ross walks through the door, closing it behind him."
T'CHALLA,Okoye! Play nice.
OKOYE,"Eh, Americans... Strapped to his chair, Klaue sings."
KLAUE,"You know, you really shouldn ' t trust the Wakandans. I'm much more your speed."
ROSS,"I don't trust anybody, not in this job. But what I am interested in is that arm cannon out there. Where'd you get that?"
KLAUE,It's an old mining tool that I made some adjustments to. But I can get you one if you'd like.
ROSS,Why don't you give me the name of your supplier and I'll ask them.
KLAUE,"He's right outside, why don't you ask him yourself?"
ROSS,T' Challa? You're telling me that weapon on your arm is from Wakanda? Klaue nods.
KLAUE,Bingo.
KLAUE,What do you actually know about Wakanda?
ROSS,Shepherds. Textiles. Cool outfits. Ross stops as we notice a MICRO AUDIO BUG on his shoulder that T'Challa planted before he entered the room. T'Challa and Okoye secretly listen to Klaue's interrogation.
KLAUE,"It's all a front. Explorers searched for it for centuries. El Dorado : The Golden City. They thought they could find it in South America, but it was in Africa the whole time. A technological marvel. All because it was built on a mound of the most valuable metal known to man- Isipho- they call it. The gift. Vibranium..."
ROSS,Vibranium yea. Strongest metal on Earth.
KLAUE,"It's not just a metal... They sew it into their clothes, it powers their city, their tech, their weapons..."
ROSS,Weapons?
KLAUE,Oh yes. Makes my arm cannon look like a leaf blower.
ROSS,That's a nice fairy tale but Wakanda is a third world country and you stole all their vibranium.
KLAUE,I stole all of it? Klaue can barely contain himself.
KLAUE,All of it? I took a tiny piece of it. They have a mountain full of it. They've been mining it for thousands of years and still haven't scratched the surface.
KLAUE,"I'm the only outsider who's seen it, and got out of there alive.  If you don't believe me you ask your friend what his suit is made of... what his claws are made of... Ross looks back at the two way glass, then heads towards the door. ROSS exits the interrogation room and approaches T'Challa and Okoye. Lirnbani drives wi th Linda in the passe nger seat. Attached to the dashboard is a GPS TRACKING TABLET DEVICE with a blinking BEACON  inside the travel agency. We also see everyone's HEAT SIGNATURE, including Klaue seated alone. Through the FRONT WINDOW, Nakia watches a PAINT TRUCK pass the building that doesn't seem right. Ross studies T'Challa."
ROSS,Your father to l d the UN that Klaue stole all the vibraniurn you had. But now he's telling me you have more?
T'CHALLA,"And you believe the word of an arms dealer, strapped to a chair. Ross hesitates, but doesn ' t bite. The truck pulls to a stop at the rear of the building. Killmonger emerges from the back of the truck with an ASSAULT RIFLE with a GRENADE LAUNCHER ATTACHMENT. On a computer monitor, we see SECURITY CAMERA FEEDS from outside the black site. Nakia wanders past the desk, eyeing over a travel agency employee's  shoulder and freezes. SECURITY CAMERA FEED the alley is empty, but there is a VISIBLE GLITCH in the footage."
NAKIA,Where is that?
CIA AGENT,"Back there. He points in the direction of the interrogation room. Killmonger slips on the AFRICAN MASK from the British Museum, then carries a DAISY-CHAIN OF EXPLOSIVES toward the building. He sets the CHARGES against the outer wall of Klaue ' s room and fearlessly leans against the structure next to the charges, he holds a detonator in his hand as Linda and Limbani lean against the wall next to him."
ROSS,How much more are you hiding? Then suddenly... Nakia SLAMS through the door. CIA AGENTS draw their weapons. Nakia is unfazed.
NAKIA,"Something's happening out back. Then... •.. carving a hole in the wall. Startled... they all break for the interrogation room but. •. Killmonger suddenly spins inside, laying down cover fire, WITH BULLETS and SHATTERING THE TWO-WAY Besieged with automatic GUNFIRE, everybody DUCKS down. On instinct, Ross shoves Nakia to the floor, taking a round to the back, saving her while... T'Challa's SUIT FORMS and he shields a CIA Agent. Okoye dives clear of the doorway and the other agents scramble out into the travel agency for cover. Linda and Lirnbani GRAB KLAUE carrying his entire chair with him still strapped to it as... Edging back toward the breach, Killmonger throws a live GRENADE through the shattered two-way window into the black site office. Panther instantly dives on the grenade and it EXPLODES, doing no damage to him or the room, but lights up his entire suit. Panther bounds back to his feet to give chase as... Klaue cackles maniacally being loaded into the paint truck by Linda and Lirnbani."
KLAUE,"I see you took your time didn't you! Killmonger continues to FIRE as Lirnbani and Linda hop in and begin to pull off. Walking backward after the truck, Killmonger swings the RPG up to his shoulder as Panther emerges. The truck turns out of the alley as Killmonger aims. Panther charges at Killmonger and he FIRES! Taking the ROCKET head on, Panther is ENGULFED IN THE MASSIVE IMPACT and blown backward. Panther's suit is lit to the max with kinetic energy as he labors back to his feet, he spots the RING dangling around Killmonger's neck on his gold chain. ."
OKOYE,My King! Panther turns to find Okoye.
OKOYE,"My King... Nakia. Panther and Okoye enter discovering agents and Nakia hovering around Ross on the floor. The receptionist  applies pressure to his gunshot wound as a MALE CIA AGENT checks his pulse. Shaken, Nakia looks to Panther."
NAKIA,"He just jumped in front of me. Gravely wounded, Ross is barely conscious."
NAKIA,"I don't think he'll make it here, it hit his spine."
T'CHALLA,Give me a Kimoyo bead. T'Challa looks at Nakia and motions towards her Kimoyo bead. She pulls one off and hands it to him. T'Challa inserts it into Ross' wound.
T'CHALLA,This will stabilize him for now.
T'CHALLA,"Give him to us. We can save him. The agents stare at Panther and his glowing high-tech suit. Okoye is at the helm with Nakia standing next to her. Neither can believe Ross is on board. Further back in the aircraft, we find Ross' unconscious body. T'Challa looms nearby, lost in thought."
OKOYE,Our missions was to bring back Klaue. We failed. This man is a foreign intelligence operative. How do we justify bringing him into our borders?
NAKIA,He took a bullet for me.
OKOYE,"That was his choice. T'Challa stiffens. Okoye has gone a little too far. Torn, Nakia stares off, thinking about the Nigerian women they didn't bring back to Wakanda and her culpability in Ross' injury."
NAKIA,So now we are just supposed to let him die?
OKOYE,"Let us consider that we heal him. It is his duty to report back to his country. And as King, it is your duty to protect ours."
T'CHALLA,"I am well aware of my duties, General. I cannot just let him die knowing we can save him."
OKOYE,"Where exactly are we taking him? Shuri covertly l eads T'Challa, Okoye and Nakia inside, carrying Ross ' s body on a Maglev stretcher. She turns to T'Challa."
SHURI,"Great, another broken white boy for us to fi x. This is going to be fun. T' Challa cuts Shuri a look. Ros s is placed on a table surrounded by futuri stic medical equipment. As Shuri works on him."
SHURI,He will live. The security alarm on Shuri's Kimoyo bead GOES OFF.
SHURI,"W'Kabi is here. Shuri, Nakia and Okoye quickly hide. T'Challa hurries up the ramp. Hoping for good news, W' Kabi approaches T'Challa."
W'KABI,"What ' s going on, brother? Where is Klaue?"
T'CHALLA,He's not here. T'Challa's eyes lower regretfully.
T'CHALLA,He slipped through our hands.
W' KABI,"Slipped? For 30 years your father was in power and did nothing. With you I thought it would be different. But it's more of the same. Deeply disappointed, W' Kabi can't muster words. He looks at T'Challa and wal ks out. An airplane graveyard. The paint truck pulls to a stop on the airstrip. Killmonger, Klaue, Limbani and Linda hop out, and hump their gear to a FOUR- SEATER ESCAPE PLANE parked on the airstrip."
LIMBANI,"Let's get going, boss."
KILLMONGER,You always sell to the CIA?
KLAUE,"I sell to the highest bidder. Don' t you worry when I get back to Jo- burg and lay low for a bit, I ' ll make sure both you guys get paid."
KILLMONGER,"Oh I ain't worried about the money, bro. I know you're good for it. Klaue smiles."
