,character,line,movie,year,words,Adam McKay,Anna Boden,Art Marcum,Ashley Edward Miller,Chris McKenna,Christopher Ford,Christopher Markus,Christopher Yost,Craig Kyle,Don Payne,Drew Pearce,Edgar Wright,Eric Pearson,Erik Sommers,Geneva Robertson-Dworet,Hawk Ostby,James Gunn,Joe Cornish,Joe Robert Cole,John Francis Daley,Jon Watts,Jonathan Goldstein,Joss Whedon,Justin Theroux,Mark Fergus,Matt Holloway,Paul Rudd,Ryan Coogler,Ryan Fleck,Shane Black,Stephen McFeely,Zack Stentz
2358,THOR,"This is how my father explained it to me... Your world is one of the Nine Realms of the Cosmos, linked to each other by the branches of Yggdrasil, the Worlds Tree. Now, you see it every day, without realizing. Images glimpsed through - - what did you call it?... this Hubble Telescope. So, Nine Realms...",Thor,2011,56,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2371,THOR,You're very welcome.,Thor,2011,3,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2376,THOR,May I have this?,Thor,2011,4,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2378,THOR,Thank you. Excuse me a moment. To replace the one I broke. Please forgive my behavior.,Thor,2011,16,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2380,THOR,"If I may, I'd like to come back for more of your ""coffee.""",Thor,2011,13,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2406,LOKI,"You think the Bifrost is the only way in and out of the Realm? There are secret paths between worlds to which even you with all your gifts are blind. But I have need of them no longer, now that I am King. And I say, for your act of treason, you are relieved of your duties as Gatekeeper. And you are no longer a citizen of Asgard. ",Thor,2011,69,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2408,LOKI,Ensure my brother does not return.,Thor,2011,6,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2410,THOR,My friends!,Thor,2011,2,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2416,THOR,"My friends, I've never been happier to see anyone. But you should not have come. ",Thor,2011,16,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2418,THOR,You know I can't. My father is dead because of me. I must remain in exile.,Thor,2011,16,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2424,THOR,Leave this town now. Get yourself and your friends to safety.,Thor,2011,11,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2426,THOR,"I must stay and fight. I'm still a warrior, and I will fight by your side. ",Thor,2011,17,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2430,THOR,You're right. Help me clear the streets. I'll let none of these people die this day.,Thor,2011,16,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2431,LOKI,Father. Welcome to Asgard.,Thor,2011,4,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2437,THOR,"My friends fight bravely, but they won't be able to hold it back much longer.",Thor,2011,15,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2442,THOR,Come on... give me one!,Thor,2011,5,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2445,THOR,"Go, while you can! ",Thor,2011,5,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2447,THOR,You can't help them now. Your job is to survive.,Thor,2011,10,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2449,THOR,Live and tell those stories yourself. Get him out of here!,Thor,2011,11,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2451,THOR,"But not win. Move Volstagg, or he'll die! Don't worry, my friends. I have a plan. Brother... for whatever I have done to wrong you, whatever I have done to lead you to do this, I am sorry. But these people have done nothing to you. They are innocents. Take my life, and know I will never return to Asgard.",Thor,2011,60,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2457,THOR,Heimdall! Open the Bifrost! He would open it if he could. I fear the worst.,Thor,2011,15,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2461,THOR,Heimdall!,Thor,2011,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2464,THOR,"Know this, son of Coul. You and I, we fight for the same cause -- the protection of this world. From this day forward, count me as your ally. If you return the items you have stolen from Jane Foster. ",Thor,2011,41,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2466,THOR,"Whatever fate lies before me, you are part of it. Get him to the healing room! Leave my brother to me.",Thor,2011,21,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2468,LOKI,"And your death came by the son of Odin. I swear to you, mother, they will pay for what they've done today. I will end the Jotun threat, now and forever! And I will make you proud.",Thor,2011,37,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2470,LOKI,"Found its way back to you, did it? ",Thor,2011,9,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2471,THOR,No thanks to you.,Thor,2011,4,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2473,THOR,Why don't you tell her? How you sent the Destroyer to kill our friends? To kill me?,Thor,2011,17,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2474,LOKI,It must have been enforcing Father's last command.,Thor,2011,8,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2475,THOR,"You're a talented liar, brother. Always have been. ",Thor,2011,9,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2476,LOKI,"It's good to have you back. Now, if you'll excuse me, I need to destroy Jotunheim.",Thor,2011,16,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2477,THOR,Jotunheim...,Thor,2011,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2478,LOKI,"All these years, and no one's ever dared to use it as a weapon. You can't stop it. The Bifrost will build until it rips Jotunheim apart.",Thor,2011,27,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2479,THOR,Why have you done this?,Thor,2011,5,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2480,LOKI,"To do what Father never could. To destroy their kind forever. When he awakens, he'll see the wisdom of what I've done. ",Thor,2011,23,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2481,THOR,He won't! You can't kill an entire race!,Thor,2011,8,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2482,LOKI,"What is this newfound love for the Frost Giants? You, who would have killed them all with your bare hands. ",Thor,2011,21,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2483,THOR,I've changed.,Thor,2011,2,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2484,LOKI,So have I. Fight me.,Thor,2011,5,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2485,THOR,Is the throne really worth what you've done? What you would become?,Thor,2011,12,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2486,LOKI,I never wanted the throne. I only wanted to be your equal. Now fight me!,Thor,2011,15,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2487,THOR,"I will not fight you, brother. ",Thor,2011,7,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2488,LOKI,I am not your brother. I never was.,Thor,2011,8,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2489,THOR,"Loki, this is madness...",Thor,2011,4,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2490,LOKI,Is it? What happened to you on earth that turned you so soft? Don't tell me it was a woman. It was.,Thor,2011,22,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2493,LOKI,"If you care so much for the Jotuns, then die with them. Thor! Help me! Please... I was always more clever than you.",Thor,2011,23,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2494,THOR,Yet still not clever enough.,Thor,2011,5,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2495,LOKI,"Look at you, the Mighty Thor. With all your strength, what good does it do you now? Stop! What are you doing?! If you destroy the Bridge, you'll never see her again!",Thor,2011,32,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2496,THOR,Forgive me. No!,Thor,2011,3,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2511,THOR,"There will never be a wiser king than you. Or a better father. I have much to learn. I know that now. But some day, perhaps, I will make you proud. ",Thor,2011,32,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2513,THOR,Can you see her?,Thor,2011,4,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2515,THOR,How is she?,Thor,2011,3,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2553,STEVE ROGERS,"Boy, a lot of guys getting killed over there.",Captain America: The First Avenger,2011,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2556,STEVE ROGERS,Nope.,Captain America: The First Avenger,2011,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2558,STEVE ROGERS,Mustard gas. He was in the hundred and seventh infantry. I was hoping I could be assigned…,Captain America: The First Avenger,2011,17,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2560,STEVE ROGERS,"She was a nurse in a TB ward. Got hit, couldn’t shake it.",Captain America: The First Avenger,2011,13,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2562,STEVE ROGERS,"Look, just give me a chance.",Captain America: The First Avenger,2011,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2564,STEVE ROGERS,Is there anything you can do?,Captain America: The First Avenger,2011,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2568,STEVE ROGERS,"Hey, you wanna show some respect?",Captain America: The First Avenger,2011,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2571,STEVE ROGERS,"Hey buddy, you wanna shut up?!",Captain America: The First Avenger,2011,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2574,STEVE ROGERS,I can do this all day.,Captain America: The First Avenger,2011,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2576,STEVE ROGERS,I had him on the ropes.,Captain America: The First Avenger,2011,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2578,STEVE ROGERS,You get your orders?,Captain America: The First Avenger,2011,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2580,STEVE ROGERS,I should be going.,Captain America: The First Avenger,2011,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2582,STEVE ROGERS,Why? Where are we going?,Captain America: The First Avenger,2011,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2584,STEVE ROGERS,"Well, I’d settle for just one.",Captain America: The First Avenger,2011,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2587,STEVE ROGERS,What did you tell her about me?,Captain America: The First Avenger,2011,7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2599,STEVE ROGERS,You go ahead. I’ll catch up with you.,Captain America: The First Avenger,2011,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2601,STEVE ROGERS,"Well, it’s a fair. I’m gonna try my luck.",Captain America: The First Avenger,2011,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2603,STEVE ROGERS,"Look, I know you don’t think I can do this.",Captain America: The First Avenger,2011,10,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2605,STEVE ROGERS,I know it’s a war. You don’t have to tell me.,Captain America: The First Avenger,2011,11,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2607,STEVE ROGERS,What am I gonna do? Collect scrap metal…,Captain America: The First Avenger,2011,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2609,STEVE ROGERS,…in my little red wagon.,Captain America: The First Avenger,2011,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2611,STEVE ROGERS,"I’m not gonna sit in a factory, Bucky.",Captain America: The First Avenger,2011,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2613,STEVE ROGERS,"Bucky, come on! There are men laying down their lives. I got no right to do any less than them. That’s what you don’t understand. This isn’t about me.",Captain America: The First Avenger,2011,29,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2617,STEVE ROGERS,How can I? You’re taking all the stupid with you.,Captain America: The First Avenger,2011,10,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2619,STEVE ROGERS,Jerk. Be careful. Don’t win the war till I get there!,Captain America: The First Avenger,2011,11,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2622,STEVE ROGERS,Is there a problem?,Captain America: The First Avenger,2011,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2625,STEVE ROGERS,Excuse me?,Captain America: The First Avenger,2011,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2627,STEVE ROGERS,Steve Rogers. Where are you from?,Captain America: The First Avenger,2011,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2629,STEVE ROGERS,No.,Captain America: The First Avenger,2011,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2631,STEVE ROGERS,That might not be the right file.,Captain America: The First Avenger,2011,7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2633,STEVE ROGERS,Is this a test?,Captain America: The First Avenger,2011,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2635,STEVE ROGERS,I don’t wanna kill anyone. I don’t like bullies. I don’t care where they’re from.,Captain America: The First Avenger,2011,15,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2637,STEVE ROGERS,I’ll take it.,Captain America: The First Avenger,2011,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2639,STEVE ROGERS,Brooklyn.,Captain America: The First Avenger,2011,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2667,STEVE ROGERS,"Thank you, sir.",Captain America: The First Avenger,2011,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2684,STEVE ROGERS,Get away! Get back!,Captain America: The First Avenger,2011,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2686,STEVE ROGERS,Is this is a test?,Captain America: The First Avenger,2011,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2689,STEVE ROGERS,Yeah.,Captain America: The First Avenger,2011,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2691,STEVE ROGERS,"I got the jitters, I guess.",Captain America: The First Avenger,2011,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2693,STEVE ROGERS,Can I ask you a question?,Captain America: The First Avenger,2011,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2695,STEVE ROGERS,Why me?,Captain America: The First Avenger,2011,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2697,STEVE ROGERS,Did it make him stronger?,Captain America: The First Avenger,2011,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2699,STEVE ROGERS,Thanks. I think.,Captain America: The First Avenger,2011,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2701,STEVE ROGERS,To the little guys.,Captain America: The First Avenger,2011,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2703,STEVE ROGERS,All right. We’ll drink it after.,Captain America: The First Avenger,2011,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2715,STEVE ROGERS,I know this neighborhood. I got beat up in that alley. And that parking lot. And behind that diner.,Captain America: The First Avenger,2011,19,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2717,STEVE ROGERS,"You start running they’ll never let you stop. You stand up, push back. Can’t say no forever, right?",Captain America: The First Avenger,2011,18,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2719,STEVE ROGERS,"I guess I just don’t why you’d wanna join the army if you’re a beautiful dame. Or a beautiful… a woman. An agent, not a dame! You are beautiful, but…",Captain America: The First Avenger,2011,30,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2721,STEVE ROGERS,This is the longers conversation I’ve had with one. Women aren’t exactly lining up to dance with a guy they might step on.,Captain America: The First Avenger,2011,23,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2723,STEVE ROGERS,"Well, asking a woman to dance always seems so terrifying. And the past few years just didn’t seem to matter that much. Figured I’d wait.",Captain America: The First Avenger,2011,25,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2725,STEVE ROGERS,The right partner.,Captain America: The First Avenger,2011,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2727,STEVE ROGERS,What are we doing here?,Captain America: The First Avenger,2011,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2739,STEVE ROGERS,It’s a little big. You save me any of that schnapps?,Captain America: The First Avenger,2011,11,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2747,STEVE ROGERS,That wasn’t so bad.,Captain America: The First Avenger,2011,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2749,STEVE ROGERS,"It’s probably too late to go to the bathroom, right?",Captain America: The First Avenger,2011,10,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2759,STEVE ROGERS,No! Don’t! I can do this!,Captain America: The First Avenger,2011,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2763,STEVE ROGERS,I did it.,Captain America: The First Avenger,2011,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2767,STEVE ROGERS,Taller.,Captain America: The First Avenger,2011,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2773,STEVE ROGERS,"Sorry!   I’m sorry.  Whoa, whoa, whoa!",Captain America: The First Avenger,2011,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2780,STEVE ROGERS,"Wait, don’t! Don’t!  No! Don’t!",Captain America: The First Avenger,2011,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2782,STEVE ROGERS,Who the hell are you?,Captain America: The First Avenger,2011,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2804,STEVE ROGERS,Think you got enough?,Captain America: The First Avenger,2011,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2806,STEVE ROGERS,He deserved more than this.,Captain America: The First Avenger,2011,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2820,STEVE ROGERS,"Sir, if you’re going after Schmidt, I want in.",Captain America: The First Avenger,2011,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2822,STEVE ROGERS,The serum worked.,Captain America: The First Avenger,2011,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2825,STEVE ROGERS,"Sir, that’s all I want.",Captain America: The First Avenger,2011,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2827,STEVE ROGERS,I don’t know if I can do this.,Captain America: The First Avenger,2011,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2829,STEVE ROGERS,It’s just not how I pictured getting there.,Captain America: The First Avenger,2011,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2832,STEVE ROGERS,Not all of us can storm a beach or drive a tank. But there’s still a way all of us can fight.,Captain America: The First Avenger,2011,22,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2834,STEVE ROGERS,Series E Defence Bonds. Each one you buy is a bullet in the barrel of your best guy’s gun.,Captain America: The First Avenger,2011,19,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2838,STEVE ROGERS,Each one you buy is a bullet in the barrel of your best guy’s gun.,Captain America: The First Avenger,2011,15,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2840,STEVE ROGERS,"We all know this is about trying to win the war. We can’t do that without bullets and bandages, tanks and tents. That’s where you come in. Every bond you buy will help protect someone you love.",Captain America: The First Avenger,2011,37,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
